time,message,logger,level
2025-05-05 13:32:31.7945,Doorstate DOOR_CLOSED for door 158 requested. Sending the door's state: DOOR_OPEN,Wewo.Data.DataHandlers.Locations.Doors.DoorDataHandler,Debug
2025-05-05 13:32:31.7945,Doorstate DOOR_CLOSED for door 159 requested. Sending the door's state: DOOR_OPEN,Wewo.Data.DataHandlers.Locations.Doors.DoorDataHandler,Debug
2025-05-05 13:32:31.7960,Doorstate DOOR_CLOSED for door 160 requested. Sending the door's state: DOOR_OPEN,Wewo.Data.DataHandlers.Locations.Doors.DoorDataHandler,Debug
2025-05-05 13:32:31.8885,[REST] constructing AGV controller,Startup,Info
2025-05-05 13:32:31.8902,Received on agvs/4/will: Online,MQTT,Info
2025-05-05 13:32:31.8905,Received data agvs/4/will - Online from Wewo.Data.Lib.MqttService,Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:31.8905,No attachments for data agvs/4/will - Online from Wewo.Data.Lib.MqttService,Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:31.8905,Received from API Wewo.Data.Lib.MqttService route: agvs Attribute: will value: Online,Wewo.Data.ApiHandler,Debug
2025-05-05 13:32:31.9170,AGV 5 is charging,Execution,Info
2025-05-05 13:32:31.9175,AGV 5 assigned to charger 6 with state CHARGING,Execution,Debug
2025-05-05 13:32:31.9610,[REST] constructing AGV controller,Startup,Info
2025-05-05 13:32:32.0444,[REST] constructing Door controller,Startup,Info
2025-05-05 13:32:32.1333,"Received on agvs/2/order/status: {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
}",MQTT,Info
2025-05-05 13:32:32.1339,"Received data agvs/2/order/status - {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
} from Wewo.Data.Lib.MqttService",Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:32.1339,"No attachments for data agvs/2/order/status - {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
} from Wewo.Data.Lib.MqttService",Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:32.1339,"agvs/2/order/status - {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
}",Wewo.Data.DataHandlers.API.Mqtt2ApiHandler,Debug
2025-05-05 13:32:32.1345,"Received from API Wewo.Data.Lib.MqttService route: agvs Attribute: order/status value: {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
}",Wewo.Data.ApiHandler,Debug
2025-05-05 13:32:32.1736,AGV 1 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:32.1736,AGV 2 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:32.1745,AGV 4 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:32.2979,[REST] Constructing Alarm controller,Startup,Info
2025-05-05 13:32:32.3173,[REST] constructing Order controller,Startup,Info
2025-05-05 13:32:32.4041,Doorstate DOOR_CLOSED for door 157 requested. Sending the door's state: DOOR_OPEN,Wewo.Data.DataHandlers.Locations.Doors.DoorDataHandler,Debug
2025-05-05 13:32:32.6357,"Received on agvs/5/order/status: {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
}",MQTT,Info
2025-05-05 13:32:32.6357,"Received data agvs/5/order/status - {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
} from Wewo.Data.Lib.MqttService",Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:32.6364,"No attachments for data agvs/5/order/status - {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
} from Wewo.Data.Lib.MqttService",Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:32.6364,"agvs/5/order/status - {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
}",Wewo.Data.DataHandlers.API.Mqtt2ApiHandler,Debug
2025-05-05 13:32:32.6364,"Received from API Wewo.Data.Lib.MqttService route: agvs Attribute: order/status value: {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
}",Wewo.Data.ApiHandler,Debug
2025-05-05 13:32:32.6401,Received on agvs/1/will: Online,MQTT,Info
2025-05-05 13:32:32.6408,Received data agvs/1/will - Online from Wewo.Data.Lib.MqttService,Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:32.6416,No attachments for data agvs/1/will - Online from Wewo.Data.Lib.MqttService,Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:32.6416,Received from API Wewo.Data.Lib.MqttService route: agvs Attribute: will value: Online,Wewo.Data.ApiHandler,Debug
2025-05-05 13:32:32.6757,AGV 1 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:32.6766,AGV 2 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:32.6773,AGV 4 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:32.7827,[REST] constructing Door controller,Startup,Info
2025-05-05 13:32:32.9115,Received on agvs/5/will: Online,MQTT,Info
2025-05-05 13:32:32.9124,Received data agvs/5/will - Online from Wewo.Data.Lib.MqttService,Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:32.9124,No attachments for data agvs/5/will - Online from Wewo.Data.Lib.MqttService,Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:32.9136,Received from API Wewo.Data.Lib.MqttService route: agvs Attribute: will value: Online,Wewo.Data.ApiHandler,Debug
2025-05-05 13:32:33.0118,Doorstate DOOR_CLOSED for door 161 requested. Sending the door's state: DOOR_OPEN,Wewo.Data.DataHandlers.Locations.Doors.DoorDataHandler,Debug
2025-05-05 13:32:33.1387,"Received on agvs/4/order/status: {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
}",MQTT,Info
2025-05-05 13:32:33.1394,"Received data agvs/4/order/status - {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
} from Wewo.Data.Lib.MqttService",Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:33.1394,"No attachments for data agvs/4/order/status - {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
} from Wewo.Data.Lib.MqttService",Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:33.1394,"agvs/4/order/status - {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
}",Wewo.Data.DataHandlers.API.Mqtt2ApiHandler,Debug
2025-05-05 13:32:33.1394,"Received from API Wewo.Data.Lib.MqttService route: agvs Attribute: order/status value: {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
}",Wewo.Data.ApiHandler,Debug
2025-05-05 13:32:33.1783,AGV 1 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:33.1783,AGV 2 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:33.1783,AGV 4 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:33.2947,[REST] Constructing Alarm controller,Startup,Info
2025-05-05 13:32:33.6787,AGV 1 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:33.6787,AGV 2 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:33.6799,AGV 4 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:33.7830,Received on agvs/2/will: Online,MQTT,Info
2025-05-05 13:32:33.7830,Received data agvs/2/will - Online from Wewo.Data.Lib.MqttService,Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:33.7830,No attachments for data agvs/2/will - Online from Wewo.Data.Lib.MqttService,Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:33.7830,Received from API Wewo.Data.Lib.MqttService route: agvs Attribute: will value: Online,Wewo.Data.ApiHandler,Debug
2025-05-05 13:32:33.7878,[REST] constructing Door controller,Startup,Info
2025-05-05 13:32:33.8243,Doorstate DOOR_CLOSED for door 156 requested. Sending the door's state: DOOR_OPEN,Wewo.Data.DataHandlers.Locations.Doors.DoorDataHandler,Debug
2025-05-05 13:32:33.8243,Doorstate DOOR_CLOSED for door 158 requested. Sending the door's state: DOOR_OPEN,Wewo.Data.DataHandlers.Locations.Doors.DoorDataHandler,Debug
2025-05-05 13:32:33.8260,Doorstate DOOR_CLOSED for door 159 requested. Sending the door's state: DOOR_OPEN,Wewo.Data.DataHandlers.Locations.Doors.DoorDataHandler,Debug
2025-05-05 13:32:33.8269,Doorstate DOOR_CLOSED for door 160 requested. Sending the door's state: DOOR_OPEN,Wewo.Data.DataHandlers.Locations.Doors.DoorDataHandler,Debug
2025-05-05 13:32:34.1799,AGV 1 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:34.1804,AGV 2 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:34.1804,AGV 4 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:34.1804,Assignment IdleExecutionStrategy for AGV 68122dfbd16b9d557b7ff222 is finished,Execution,Info
2025-05-05 13:32:34.3020,[REST] Constructing Alarm controller,Startup,Info
2025-05-05 13:32:34.4338,Doorstate DOOR_CLOSED for door 157 requested. Sending the door's state: DOOR_OPEN,Wewo.Data.DataHandlers.Locations.Doors.DoorDataHandler,Debug
2025-05-05 13:32:34.6417,"Received on agvs/1/order/status: {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
}",MQTT,Info
2025-05-05 13:32:34.6417,"Received data agvs/1/order/status - {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
} from Wewo.Data.Lib.MqttService",Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:34.6425,"No attachments for data agvs/1/order/status - {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
} from Wewo.Data.Lib.MqttService",Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:34.6425,"agvs/1/order/status - {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
}",Wewo.Data.DataHandlers.API.Mqtt2ApiHandler,Debug
2025-05-05 13:32:34.6425,"Received from API Wewo.Data.Lib.MqttService route: agvs Attribute: order/status value: {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
}",Wewo.Data.ApiHandler,Debug
2025-05-05 13:32:34.6815,AGV 1 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:34.6815,AGV 2 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:34.6815,AGV 4 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:34.6895,[REST] constructing AGV controller,Startup,Info
2025-05-05 13:32:34.7642,[REST] constructing AGV controller,Startup,Info
2025-05-05 13:32:34.7894,[REST] constructing Door controller,Startup,Info
2025-05-05 13:32:34.9883,Received on agvs/4/will: Online,MQTT,Info
2025-05-05 13:32:34.9883,Received data agvs/4/will - Online from Wewo.Data.Lib.MqttService,Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:34.9883,No attachments for data agvs/4/will - Online from Wewo.Data.Lib.MqttService,Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:34.9895,Received from API Wewo.Data.Lib.MqttService route: agvs Attribute: will value: Online,Wewo.Data.ApiHandler,Debug
2025-05-05 13:32:35.0433,Doorstate DOOR_CLOSED for door 161 requested. Sending the door's state: DOOR_OPEN,Wewo.Data.DataHandlers.Locations.Doors.DoorDataHandler,Debug
2025-05-05 13:32:35.0970,[REST] constructing Order controller,Startup,Info
2025-05-05 13:32:35.1804,[REST] constructing Door controller,Startup,Info
2025-05-05 13:32:35.1826,AGV 1 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:35.1826,AGV 2 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:35.1834,AGV 4 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:35.2872,[REST] Constructing Alarm controller,Startup,Info
2025-05-05 13:32:35.6843,AGV 1 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:35.6852,AGV 2 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:35.6859,AGV 4 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:35.7430,Received on agvs/1/will: Online,MQTT,Info
2025-05-05 13:32:35.7435,Received data agvs/1/will - Online from Wewo.Data.Lib.MqttService,Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:35.7435,No attachments for data agvs/1/will - Online from Wewo.Data.Lib.MqttService,Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:35.7435,Received from API Wewo.Data.Lib.MqttService route: agvs Attribute: will value: Online,Wewo.Data.ApiHandler,Debug
2025-05-05 13:32:35.7947,[REST] constructing Door controller,Startup,Info
2025-05-05 13:32:35.8578,Doorstate DOOR_CLOSED for door 156 requested. Sending the door's state: DOOR_OPEN,Wewo.Data.DataHandlers.Locations.Doors.DoorDataHandler,Debug
2025-05-05 13:32:35.8589,Doorstate DOOR_CLOSED for door 158 requested. Sending the door's state: DOOR_OPEN,Wewo.Data.DataHandlers.Locations.Doors.DoorDataHandler,Debug
2025-05-05 13:32:35.8596,Doorstate DOOR_CLOSED for door 159 requested. Sending the door's state: DOOR_OPEN,Wewo.Data.DataHandlers.Locations.Doors.DoorDataHandler,Debug
2025-05-05 13:32:35.8604,Doorstate DOOR_CLOSED for door 160 requested. Sending the door's state: DOOR_OPEN,Wewo.Data.DataHandlers.Locations.Doors.DoorDataHandler,Debug
2025-05-05 13:32:36.0128,Received on agvs/5/will: Online,MQTT,Info
2025-05-05 13:32:36.0128,Received data agvs/5/will - Online from Wewo.Data.Lib.MqttService,Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:36.0135,No attachments for data agvs/5/will - Online from Wewo.Data.Lib.MqttService,Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:36.0135,Received from API Wewo.Data.Lib.MqttService route: agvs Attribute: will value: Online,Wewo.Data.ApiHandler,Debug
2025-05-05 13:32:36.1857,AGV 1 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:36.1857,AGV 2 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:36.1865,AGV 4 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:36.2956,[REST] Constructing Alarm controller,Startup,Info
2025-05-05 13:32:36.3730,Received on agvs/2/will: Online,MQTT,Info
2025-05-05 13:32:36.3735,Received data agvs/2/will - Online from Wewo.Data.Lib.MqttService,Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:36.3735,No attachments for data agvs/2/will - Online from Wewo.Data.Lib.MqttService,Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:36.3735,Received from API Wewo.Data.Lib.MqttService route: agvs Attribute: will value: Online,Wewo.Data.ApiHandler,Debug
2025-05-05 13:32:36.4652,Doorstate DOOR_CLOSED for door 157 requested. Sending the door's state: DOOR_OPEN,Wewo.Data.DataHandlers.Locations.Doors.DoorDataHandler,Debug
2025-05-05 13:32:36.6869,AGV 1 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:36.6881,AGV 2 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:36.6887,AGV 4 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:36.7890,[REST] constructing Door controller,Startup,Info
2025-05-05 13:32:36.9187,AGV 5 is charging,Execution,Info
2025-05-05 13:32:36.9195,AGV 5 assigned to charger 6 with state CHARGING,Execution,Debug
2025-05-05 13:32:37.0743,Doorstate DOOR_CLOSED for door 161 requested. Sending the door's state: DOOR_OPEN,Wewo.Data.DataHandlers.Locations.Doors.DoorDataHandler,Debug
2025-05-05 13:32:37.1462,"Received on agvs/2/order/status: {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
}",MQTT,Info
2025-05-05 13:32:37.1468,"Received data agvs/2/order/status - {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
} from Wewo.Data.Lib.MqttService",Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:37.1474,"No attachments for data agvs/2/order/status - {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
} from Wewo.Data.Lib.MqttService",Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:37.1474,"agvs/2/order/status - {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
}",Wewo.Data.DataHandlers.API.Mqtt2ApiHandler,Debug
2025-05-05 13:32:37.1474,"Received from API Wewo.Data.Lib.MqttService route: agvs Attribute: order/status value: {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
}",Wewo.Data.ApiHandler,Debug
2025-05-05 13:32:37.1891,AGV 1 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:37.1891,AGV 2 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:37.1904,Assignment IdleExecutionStrategy for AGV 68122dfbd16b9d557b7ff222 is finished,Execution,Info
2025-05-05 13:32:37.1904,AGV 4 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:37.2901,[REST] Constructing Alarm controller,Startup,Info
2025-05-05 13:32:37.4880,[REST] constructing AGV controller,Startup,Info
2025-05-05 13:32:37.5604,[REST] constructing AGV controller,Startup,Info
2025-05-05 13:32:37.6490,"Received on agvs/5/order/status: {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
}",MQTT,Info
2025-05-05 13:32:37.6495,"Received data agvs/5/order/status - {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
} from Wewo.Data.Lib.MqttService",Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:37.6495,"No attachments for data agvs/5/order/status - {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
} from Wewo.Data.Lib.MqttService",Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:37.6495,"agvs/5/order/status - {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
}",Wewo.Data.DataHandlers.API.Mqtt2ApiHandler,Debug
2025-05-05 13:32:37.6495,"Received from API Wewo.Data.Lib.MqttService route: agvs Attribute: order/status value: {
  ""id"": 0,
  ""pickStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""dropStation"": {
    ""id"": 0,
    ""name"": """",
    ""position"": 0
  },
  ""status"": 0
}",Wewo.Data.ApiHandler,Debug
2025-05-05 13:32:37.6907,AGV 1 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:37.6907,AGV 2 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:37.6916,AGV 4 should idle because it is not in production (and doesn't have an assignment),Assignment,Info
2025-05-05 13:32:37.7949,[REST] constructing Door controller,Startup,Info
2025-05-05 13:32:37.8868,Doorstate DOOR_CLOSED for door 156 requested. Sending the door's state: DOOR_OPEN,Wewo.Data.DataHandlers.Locations.Doors.DoorDataHandler,Debug
2025-05-05 13:32:37.8878,Doorstate DOOR_CLOSED for door 158 requested. Sending the door's state: DOOR_OPEN,Wewo.Data.DataHandlers.Locations.Doors.DoorDataHandler,Debug
2025-05-05 13:32:37.8885,Doorstate DOOR_CLOSED for door 159 requested. Sending the door's state: DOOR_OPEN,Wewo.Data.DataHandlers.Locations.Doors.DoorDataHandler,Debug
2025-05-05 13:32:37.8885,Doorstate DOOR_CLOSED for door 160 requested. Sending the door's state: DOOR_OPEN,Wewo.Data.DataHandlers.Locations.Doors.DoorDataHandler,Debug
2025-05-05 13:32:37.9095,[REST] constructing Order controller,Startup,Info
2025-05-05 13:32:37.9915,[REST] constructing Door controller,Startup,Info
2025-05-05 13:32:38.0884,Received on agvs/4/will: Online,MQTT,Info
2025-05-05 13:32:38.0884,Received data agvs/4/will - Online from Wewo.Data.Lib.MqttService,Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:38.0894,No attachments for data agvs/4/will - Online from Wewo.Data.Lib.MqttService,Wewo.Data.DataHandlers.IO.IoEventHandler,Debug
2025-05-05 13:32:38.0894,Received from API Wewo.Data.Lib.MqttService route: agvs Attribute: will value: Online,Wewo.Data.ApiHandler,Debug
